STATION_NAME,DATE,AVEMAX
CITY CRK WATER PLANT UT US,19490401,-9999
CITY CRK WATER PLANT UT US,19660901,71.1
CITY CRK WATER PLANT UT US,19670801,82
CITY CRK WATER PLANT UT US,19760201,42.4
CITY CRK WATER PLANT UT US,19780401,56.7
CITY CRK WATER PLANT UT US,19780901,69.8
CITY CRK WATER PLANT UT US,19790901,76.5
CITY CRK WATER PLANT UT US,19791001,60.4
CITY CRK WATER PLANT UT US,20010301,53.2
CITY CRK WATER PLANT UT US,20010401,57.9
CITY CRK WATER PLANT UT US,20010501,73.8
CITY CRK WATER PLANT UT US,20010601,82.2
CITY CRK WATER PLANT UT US,20010701,88.3
CITY CRK WATER PLANT UT US,20010801,88.9
CITY CRK WATER PLANT UT US,20010901,82
CITY CRK WATER PLANT UT US,20011001,65.8
CITY CRK WATER PLANT UT US,20011101,51.1
CITY CRK WATER PLANT UT US,20011201,34.7
CITY CRK WATER PLANT UT US,20020101,36.7
CITY CRK WATER PLANT UT US,20020201,39.9
CITY CRK WATER PLANT UT US,20020301,46.2
CITY CRK WATER PLANT UT US,20020401,62.1
CITY CRK WATER PLANT UT US,20020501,70.3
CITY CRK WATER PLANT UT US,20020601,81.9
CITY CRK WATER PLANT UT US,20020701,90.7
CITY CRK WATER PLANT UT US,20020801,85.6
CITY CRK WATER PLANT UT US,20020901,74.5
CITY CRK WATER PLANT UT US,20021001,59.4
CITY CRK WATER PLANT UT US,20021101,46.2
CITY CRK WATER PLANT UT US,20021201,40.8
CITY CRK WATER PLANT UT US,20030101,46
CITY CRK WATER PLANT UT US,20030201,40.3
CITY CRK WATER PLANT UT US,20030301,50.7
CITY CRK WATER PLANT UT US,20030401,59.9
CITY CRK WATER PLANT UT US,20030501,70.2
CITY CRK WATER PLANT UT US,20030601,78.1
CITY CRK WATER PLANT UT US,20030701,92.7
CITY CRK WATER PLANT UT US,20030801,88.3
CITY CRK WATER PLANT UT US,20030901,76.6
CITY CRK WATER PLANT UT US,20031001,69.8
CITY CRK WATER PLANT UT US,20031101,41.9
CITY CRK WATER PLANT UT US,20031201,39.6
CITY CRK WATER PLANT UT US,20040101,30.9
CITY CRK WATER PLANT UT US,20040201,36.5
CITY CRK WATER PLANT UT US,20040301,56.7
CITY CRK WATER PLANT UT US,20040401,60.8
CITY CRK WATER PLANT UT US,20040501,68.4
CITY CRK WATER PLANT UT US,20040601,79.3
CITY CRK WATER PLANT UT US,20040701,86.2
CITY CRK WATER PLANT UT US,20040801,82.8
CITY CRK WATER PLANT UT US,20040901,75.7
CITY CRK WATER PLANT UT US,20041001,59.9
CITY CRK WATER PLANT UT US,20041101,47.3
CITY CRK WATER PLANT UT US,20041201,41
CITY CRK WATER PLANT UT US,20050101,42.8
CITY CRK WATER PLANT UT US,20050201,46
CITY CRK WATER PLANT UT US,20050301,52.3
CITY CRK WATER PLANT UT US,20050401,61
CITY CRK WATER PLANT UT US,20050501,70.3
CITY CRK WATER PLANT UT US,20050601,75.9
CITY CRK WATER PLANT UT US,20050701,92.3
CITY CRK WATER PLANT UT US,20050801,86.9
CITY CRK WATER PLANT UT US,20050901,78.1
CITY CRK WATER PLANT UT US,20051001,64.8
CITY CRK WATER PLANT UT US,20051101,49.3
CITY CRK WATER PLANT UT US,20051201,38.7
CITY CRK WATER PLANT UT US,20060101,41.5
CITY CRK WATER PLANT UT US,20060201,43.9
CITY CRK WATER PLANT UT US,20060301,48.2
CITY CRK WATER PLANT UT US,20060401,63
CITY CRK WATER PLANT UT US,20060501,72.7
CITY CRK WATER PLANT UT US,20060601,83.3
CITY CRK WATER PLANT UT US,20060701,91.2
CITY CRK WATER PLANT UT US,20060801,86.4
CITY CRK WATER PLANT UT US,20060901,72.7
CITY CRK WATER PLANT UT US,20061001,59.4
CITY CRK WATER PLANT UT US,20061101,49.1
CITY CRK WATER PLANT UT US,20061201,37.8
CITY CRK WATER PLANT UT US,20070101,31.5
CITY CRK WATER PLANT UT US,20070201,44.4
CITY CRK WATER PLANT UT US,20070301,55.9
CITY CRK WATER PLANT UT US,20070401,61.2
CITY CRK WATER PLANT UT US,20070501,73
